name,city,country
Mmabatho International Airport,Mafeking,ZA
Riverside Airport,Malelane,ZA
Mossel Bay Airport,Mossel Bay,ZA
Madimbo Airport,Matshakatini,ZA
Maclear Airport,Maclear,ZA
Morningside Farm Airport,Silveroaks,ZA
Molteno Airport,Molteno,ZA
Mkuze Airport,Mkuze,ZA
Montrose Airport,Montrose,ZA
Mbazwana Airport,Mbazwana,ZA
Malmesbury Airport,Mammesbury,ZA
Msauli Airport,Msauli,ZA
Nongoma Airport,Nongoma,ZA
Newcastle Airport,Newcastle,ZA
Ngala Airport,Ngala,ZA
New Hanover Airport,New Hanover,ZA
New Largo Airport,Witbank,ZA
Nelspruit Airport,Nelspruit,ZA
Nieuwoudtville Airfield,Nieuwoudtville,ZA
Nylstroom Airfield,Modimolle,ZA
Overberg Airport,Overberg,ZA
Odendaalsrus Airport,Odendaalsrus,ZA
Jack Duvenhage Airport,Olifantshoek,ZA
Oudtshoorn Airport,Oudtshoorn,ZA
Orient Glider Airport,Orient,ZA
Othawa Airport,Otthawa,ZA
Ornate Lake St L Airport,Hluhluwe,ZA
O. R. Tambo International Airport,Johannesburg,ZA
Ottosdal Airport,Ottosdal,ZA
Orkney Airport,Orkney,ZA
Port Alfred Airport,Port Alfred,ZA
Prince Albert Airport,Prince Albert,ZA
Pofadder Airport,Pofadder,ZA
Port Elizabeth Airport,Port Elizabeth,ZA
Piet Retief Airport,Piet Retief,ZA
Plettenberg Bay Airport,Plettenberg Bay,ZA
Hendrik Van Eck Airport,Phalaborwa,ZA
Pietersburg Municipal Airport,Polokwane,ZA
Port St Johns Airport,Port St Johns,ZA
Prieska Airport,Prieska,ZA
Pongola Airport,Pongola,ZA
Pietermaritzburg Airport,Pietermaritzburg,ZA
Pilanesberg International Airport,Pilanesberg,ZA
Pilgrims Rest Airport,Mankolehlotlo,ZA
Polokwane International Airport,Potgietersrus,ZA
Punda Maria(Malia) Airport,Kruger National Park,ZA
Potchefstroom Airport,Potchefstroom,ZA
Posmasburg Soil Airport,Postmasburg,ZA
Paarl East Airport,Paarl,ZA
Petrusville Airport,Petrusville,ZA
Pietersrus Airport,Pietersrus,ZA
Paradise Beach Airport,Jeffreysbaal,ZA
Parys Airport,Parys,ZA
Progress Airport,Sunlands,ZA
Pomfret Airport,Pomfret,ZA
Potgietersrus Airport,Potgietersus,ZA
Queenstown Airport,Queenstown,ZA
Petit Airport,Daveyton,ZA
Richards Bay Airport,Richards Bay,ZA
Riversdale Airport,Riversdale,ZA
Rustenburg Airport,Rustenburg,ZA
Reivilo Airport,Reivilo,ZA
Richmond Airport,Richmond,ZA
Rooiberg Airport,Rooiberg,ZA
Robertson Airport,Robertson,ZA
Reitz Airport,Maasstroom,ZA
Sani Pass Airport,Sani Pass,ZA
Springbok Airport,Springbok,ZA
Secunda Airport,Secunda,ZA
Saldanha /Vredenburg Airport,Saldanha-Vredenburg,ZA
Sabi Sabi Airport,Belfast,ZA
Schweizer Reneke Airport,Schweizer Reneke,ZA
Stellenbosch Airport,Stellenbosch,ZA
Springs Airfield,Springs,ZA
Saffier Airport,Saffier,ZA
Swartkop Air Force Base,Pretoria,ZA
Sutherland Airport,Sutherland,ZA
Siteka Airport,Siteka,ZA
Senekal Airport,Senekal,ZA
Standerton Airport,Standerton,ZA
Sishen Airport,Sishen,ZA
Somerset East Airport,Somerset East,ZA
Sace Airport,Sace,ZA
Slurry Airport,Slurry,ZA
Hendrik Swellengrebel Airport,Swellendam,ZA
Syferfontein Airport,Hiltonia,ZA
Skukuza Airport,Skukuza,ZA
Tedderfield Air Park,Tedderfield,ZA
Thorny Bush Game Lodge Airport,Hoedspruit,ZA
Tanda Tula Airport,Welverdiend,ZA
Tommys Field Airport,Beeshoek,ZA
Thohoyandou Airport,Thohoyandou,ZA
Thabazimbi Airport,Thabazimbi,ZA
Tsitsikama Fly Airport,Tsitsikama,ZA
Stutterheim Airport,Stutterheim,ZA
Thaba Nchu Tar Airport,Homeward,ZA
New Tempe Airport,Bain's Vlei,ZA
Trennery's Airport,Qolora,ZA
Tutuka Power Station Airport,Standerton,ZA
Witberg Tswalu Airport,Tswalo Game Reserve,ZA
Tzaneen Airport,Tzaneen,ZA
Underberg Airport,Underberg,ZA
Ulco Airport,Ulco,ZA
Ugie Airport,Ugie,ZA
Uitenhage Airport,Uitenhage,ZA
Prince Mangosuthu Buthelezi Airport,Ulundi,ZA
Pierre Van Ryneveld Airport,Upington,ZA
Utrecht Airport,Utrecht,ZA
Ulusaba Airport,Ulusaba,ZA
K. D. Matanzima Airport,Mthatha,ZA
Vaalputs Airport,Vaalputs,ZA
Vryburg Airport,Vyrburg,ZA
Vrede Airport,Vrede,ZA
Ventersdorp Airport,Ventersdorp,ZA
Verborgenfontei Airport,Verborgenfontein,ZA
Virginia Airport,Durban,ZA
Von Abo's Villa Airport,Von Abo's Villa,ZA
Venetia Airport,Venetia Mine,ZA
Vanderbijlpark Airport,Vanderbijlpark,ZA
Vredendal Airport,Vredendal,ZA
Vastrap Airport,Upington,ZA
Volksrust Airport,Volksrust,ZA
Vereeniging Airport,Vereeniging,ZA
Victoria West Airport,Victoria West,ZA
Vryheid Airport,Vryheid,ZA
Warmbaths Airport,Warmbaths,ZA
Wonderboom Airport,Pretoria,ZA
Worcester Glider Airport,Worcester,ZA
Wolmeransstad Airport,Wolmeransstad,ZA
Witbank Airport,Witbank,ZA
Waterkloof Air Force Base,Pretoria,ZA
Williston Airport,Williston,ZA
Welkom Airport,Welkom,ZA
Winburg Airport,Winburg,ZA
Willowmore Airport,Willowmore,ZA
Wepener Airport,Wepener,ZA
Wavecrest Airport,Wavecrest,ZA
Wesselbronn Af Airport,Wesselsbron,ZA
Winterveldt Mine Airport,Doornbosch,ZA
Ysterplaat Air Force Base,Cape Town,ZA
Zastron Airport,Zastron,ZA
Mazeppa Bay Airport,Mazeppa Bay,ZA
Star Airport,Star,ZA
Zeerust Airport,Zeerust,ZA
Camp Okavango Airport,Camp Okavango,BW
Francistown Airport,Francistown,BW
Gumare Airport,Gumare,BW
Ghanzi Airport,Ghanzi,BW
Jwaneng Airport,,BW
Kasane Airport,Kasane,BW
Kang Airport,,BW
Khwai River Lodge Airport,Khwai River Lodge,BW
Kanye Airport,Kanye,BW
Machaneng Airport,Machaneng,BW
Molepolole Airport,Molepolole,BW
Makalamabedi Airport,Makalamabedi,BW
Maun Airport,Maun,BW
Nokaneng Airport,Nokaneng,BW
Nata Airport,Nata,BW
Gaborone Notwane Airport,Gaborone Notwane,BW
Okwa Airport,Okwa,BW
Orapa Airport,,BW
Palapye Airport,Palapye,BW
Rakops Airport,Rakops,BW
Sir Seretse Khama International Airport,Gaborone,BW
Sua Pan Airport,,BW
Selebi Phikwe Airport,,BW
Serowe Airport,Serowe,BW
Savuti Airport,Savuti,BW
Shakawe Airport,Shakawe,BW
Tshane Airport,Tshane,BW
Limpopo Valley Airport,Tuli Lodge,BW
Thebephatshwa Airport,,BW
Tshabong Airport,Tshabong,BW
Xaxaba Airport,Xaxaba,BW
Xugana Airport,,BW
La Louila Airport,La Louila,CG
Maya-Maya Airport,Brazzaville,CG
Djambala Airport,Djambala,CG
Kindamba Airport,Kindamba,CG
Lague Airport,Lague,CG
Mouyondzi Airport,Mouyondzi,CG
M'passa Airport,M'passa,CG
Sibiti Airport,Sibiti,CG
Loutete Airport,Loutete,CG
Aubeville Airport,Aubeville,CG
Yokangassi Airport,Nkayi,CG
Zanaga Airport,Zanaga,CG
Mavinza Airport,Mavinza,CG
N'Ziba Airport,N'Ziba,CG
Sidetra Airport,Sidetra,CG
Loufoula Airport,Loufoula,CG
Gokango Airport,Gokango,CG
Irogo Airport,Irogo,CG
Kele Kibangou Airport,Kele Kibangou,CG
Leboulou Airport,Leboulou,CG
Mossendjo Airport,Mossendjo,CG
N'gongo Airport,N'gongo,CG
Mandoro Airport,Mandoro,CG
Marala Airport,Marala,CG
Nyanga Airport,Nyanga,CG
Legala Airport,Legala,CG
N'Zabi Airport,N'Zabi,CG
Boundji Airport,Boundji,CG
Ewo Airport,Ewo,CG
Gamboma Airport,Gamboma,CG
Impfondo Airport,Impfondo,CG
Kelle Airport,Kelle,CG
Makoua Airport,Makoua,CG
Owando Airport,Owando,CG
Souanke Airport,Souanke,CG
Betou Airport,Betou,CG
Ouesso Airport,,CG
Makabana Airport,Makabana,CG
Bangamba Airport,Bangamba,CG
Ngot Nzoungou Airport,Dolisie,CG
Leganda Airport,Leganda,CG
Kibangou Airport,Kibangou,CG
Loubetsi Airport,Loubetsi,CG
N'komo Airport,N'komo,CG
Noumbi Airport,Noumbi,CG
Pemo Airport,Pemo,CG
Pointe Noire Airport,Pointe Noire,CG
Loukanyi Airport,Loukanyi,CG
Patch O Blue Airport,Orange Springs,US
Five Oaks Estate Airport,Crestview,US
Leeward Air Ranch Airport,Ocala/Belleview,US
Antiquers Aerodrome,Delray Beach,US
Rlm Farms Airport,Kenansville,US
Jubilee Acres Airport,Fort Meade,US
Paniola Air Ranch Airport,Citra,US
Tailwinds Airport,Jupiter,US
Flying C Farm Airport,Branford,US
Sundance Farms Airport,La Belle,US
Melrose Landing Airport,Melrose,US
Rutland Runway Airport,Rutland,US
Southern Fruit Groves Airport,Port St. Lucie,US
Fly In Ranches Airport,Vero Beach,US
Kirkland Airport,Graceville,US
Cuyler Field,Glen St Mary,US
Flying Dutchman Ranch Airport,Ocala,US
Southeastern Airport,Fort Pierce,US
Bradley Airport,Fort White,US
Green Swamp Aerodrome,Lakeland,US
Redhead Airport,Ebro,US
Gentry Airport,St Cloud,US
Wellington Aero Club Airport,West Palm Beach,US
Flying Cow Air Ranch Airport,Okeechobee,US
Cooksey Brothers Airport,Live Oak,US
Eagles Nest Aerodrome,Crescent City,US
Montgomery's Flying M Ranch Airport,Lake Panasoffkee,US
The Trails Airport,Luraville,US
Summerland Key Cove Airport,Summerland Key,US
Cub Haven Airport,Dade City,US
Rutten Airstrip,Havana,US
Baggett Airport,Fort Pierce,US
Field Of Dreams Airport,Dade City,US
Red Barn Acres Airport,Live Oak,US
Squires Aviation Ranch Airport,Jasper,US
River Acres Airport,Okeechobee,US
O'Brien Airpark East/West Airport,Branford,US
Kings Port Airport,Lake Placid,US
Wimauma Air Park,Wimauma,US
Gleim Field,Gainesville,US
Stout Airport,Kissimmee,US
Deep Woods Ranch Airport,Deland,US
Aero Acres Airport,Fort Pierce,US
Collier/Pine Barren Airpark,Century,US
Lafayette Landings Airport,De Leon Springs,US
Southerland Strip,Geneva,US
Yellow River Airstrip,Holt,US
Hartzog Field,Chipley,US
White Field,Branford,US
Matata Airport,Big Bend,SZ
Big Bend Sugar E Airport,Big Bend,SZ
Tambuti Airport,Big Bend,SZ
Lavumisa Airport,Lavumisa,SZ
Kubuta Airport,Kubuta B,SZ
Mhlume Airport,Mhlume,SZ
Matsapha Airport,Manzini,SZ
Piggs Peak Airport,Ngonini,SZ
Nhlangano Airport,Nhlangano,SZ
Nsoko Airport,Nsoko,SZ
King Mswati III Intl,Manzini,SZ
Simunye Airport,Simunye,SZ
Siteki Airport,Siteki,SZ
Tambankulu Airport,Tambankulu,SZ
Tshaneni Airport,Tshaneni,SZ
Ubombo Ranches Airport,Big Bend,SZ
Alindao Airport,Alindao,CF
Poste Airport,Obo,CF
Carnot Airport,Carnot,CF
Damara Airport,Damara,CF
Mobaye Mbanga Airport,Mobaye Mbanga,CF
Bangui M'Poko International Airport,Bangui,CF
Bangassou Airport,Bangassou,CF
Birao Airport,Birao,CF
Kembe Airport,Kembe,CF
Bambari Airport,Bambari,CF
N'Dele Airport,N'Dele,CF
Bouar Airport,Bouar,CF
Paoua Airport,Paoua,CF
Kaga-Bandoro Airport,Kaga-Bandoro,CF
Bria Airport,Bria,CF
Bossangoa Airport,Bossangoa,CF
Berberati Airport,Berberati,CF
Sibut Airport,Sibut,CF
Ouadda Airport,Ouadda,CF
Yalinga Airport,Yalinga,CF
Zemio Airport,Zemio,CF
Bambouli Airport,Bambouli,CF
Bocaranga Airport,Bocaranga,CF
Dekoa Airport,Dekoa,CF
M'Boki Airport,Mboki,CF
Batangafo Airport,Batangafo,CF
Gamboula Airport,Gamboula,CF
Grimari Airport,Grimari,CF
Gordil Airport,Melle,CF
Bakouma Airport,Bakouma,CF
Ouanda Djalle Airport,Ouanda Djalle,CF
Rafai Airport,Rafai,CF
Bouca Airport,Bouca,CF
Bozoum Airport,Bozoum,CF
Bata Airport,,GQ
Malabo Airport,Malabo,GQ
RAF Ascension Island,Ascension Island,SH
Saint Helena Airport,Saint Helena,SH
Agalega Island Airstrip,Vingt Cinq,MU
Sir Seewoosagur Ramgoolam International Airport,Port Louis,MU
Sir Charles Gaetan Duval Airport,Port Mathurin,MU
Diego Garcia Naval Support Facility,Diego Garcia,IO
Banyo Airport,Banyo,CM
Bafia Airport,Bafia,CM
Abong M'bang Airport,Abong M'bang,CM
Nkongsamba Airport,Nkongsamba,CM
Betare Oya Airport,Betare Oya,CM
Kribi Airport,Kribi,CM
Tiko Airport,Tiko,CM
Douala International Airport,Douala,CM
Eseka Airport,Eseka,CM
Mamfe Airport,Mamfe,CM
Bali Airport,Bali,CM
Kaele Airport,Kaele,CM
Batouri Airport,Batouri,CM
Yagoua Airport,Yagoua,CM
Salak Airport,Maroua,CM
Foumban Nkounja Airport,Foumban,CM
N'Gaoundere Airport,N'Gaoundere,CM
Bertoua Airport,Bertoua,CM
Garoua International Airport,Garoua,CM
Dschang Airport,Dschang,CM
Tibati Airport,Tibati,CM
Bafoussam Airport,Bafoussam,CM
Bamenda Airport,Bamenda,CM
Ebolowa Airport,Ebolowa,CM
Yaounde Airport,Yaounde,CM
Yaounde Nsimalen International Airport,Yaounde,CM
Crews Homestead Ranch Airport,Avon Park,US
Fox Field,Branford,US
Nr3 Farms Airport,Sumterville,US
Wings N Sunsets Airport,Live Oak,US
Florida Sheriffs Boys Ranch Airport,Live Oak,US
Kittyhawk Estates Airport,Live Oak,US
Little River Airport,Mc Alpin,US
Thrifts Airport,Macclenny,US
Ingalls Field,Miccosukee,US
Spencer's Airpark,Middleburg,US
Market World Airport,Auburndale,US
Ruckel Airport,Niceville,US
Suwannee Farms Airport,O'Brien,US
Crosswind Farm Airport,Ocala,US
Lake City Airpark,Lake City,US
State Prison Field,Raiford,US
Hales 700 Airport,Fort Pierce,US
Mjd Airport,Miami,US
Watson Flight Strip,Trenton,US
Eglin Aux Field 6 Airport,Valparaiso,US
Geraci Airpark,Lutz,US
Lykes Silver Lake Airport,Labelle,US
Treasure Coast Airpark,Port St. Lucie,US
Hummingbirds Landing Airport,Arcadia,US
Okeelanta Airport,South Bay,US
Burntwood Ranch Airport,Lakeland,US
Rossi Field,Lake City,US
Angel's Field,Tallahassee,US
Flying Tiger Field,Worthington,US
Johary Airport,Belleview,US
Buckingham Field,Lehigh Acres,US
Reynolds Airpark,Green Cove Springs,US
Bradshaw Tree Farm Airport,Deland,US
Peach Orchard Airport,Archer,US
Evans Properties Inc Airport,Fort Pierce,US
Indian River Aerodrome,Vero Beach,US
Indian Hammock Airport,Fort Drum,US
Calusa Ranch Airport,Miles City,US
Lewis Airport,Brandon,US
Lee Farms Airport,Lowell,US
Triple B Airpark,Crestview,US
Oak Ridge Airport,Interlachen,US
Flying-A-Ranch Airport,Fernandina Beach,US
Woodstock Airport,Fort Myers,US
Bob Paul Airport,La Belle,US
Salty Approach Airport,Fort Myers,US
Broocke Air Patch Airport,Winter Beach,US
Tangerine Airport,Zellwood,US
Flying-H Airport,Fruitland Park,US
Katete Airport,Katete,ZM
Mbala Airport,Mbala,ZM
Chocha Airport,Chocha,ZM
Choma Airport,Choma,ZM
Chipata Airport,Chipata,ZM
Chinsali Airport,Chinsali,ZM
East One Airport,Bwambwa,ZM
East Two Airport,Mofu,ZM
East Three Airport,Luano,ZM
East Four Airport,Mululowera,ZM
East Five Airport,Chidulka,ZM
East Six Airport,Chiwanangala,ZM
East Seven Airport,Kanshela,ZM
East Eight Airport,Kapu,ZM
Isoka Airport,Isoka,ZM
Jeki Airstrip,Lower Zambezi National Park,ZM
Kawambwa Airport,Kawambwa,ZM
Kasompe Airport,Kasompe,ZM
Kalengwa Airport,Kalengwa,ZM
Kanja Airport,Kanja,ZM
Kenneth Kaunda International Airport,Lusaka,ZM
Kalabo Airport,Kalabo,ZM
Kaoma Airport,Kaoma,ZM
Kasama Airport,Kasama,ZM
Kanyau Airport,Kanyau,ZM
Milliken Airport,Kabwe,ZM
Kasaba Bay Airport,Kasaba Bay,ZM
Lukuzi Airport,Nansolo,ZM
Luanshya Zambia Airport,Luanshya,ZM
Lusaka City Airport,Lusaka,ZM
Lundazi Airport,Lundazi,ZM
Luwingu Airport,Luwingu,ZM
Livingstone Airport,Livingstone,ZM
Lukulu Airport,Lukulu,ZM
Kalomo Airport,Kalomo,ZM
Mansa Airport,Mansa,ZM
Maamba Airport,Maamba,ZM
Mfuwe Airport,Mfuwe,ZM
Mongu Airport,Mongu,ZM
Mkushi Airport,Mkushi,ZM
Mufulira Airport,Mufulira,ZM
Monze Airport,Monze,ZM
Mpika Airport,Mpika,ZM
Mulobezi Airport,Mulobezi,ZM
Mwinilunga Airport,Mwinilunga,ZM
Mazabuka Airport,Mazabuka,ZM
Ngoma Airport,Ngoma,ZM
Peter Zuze Air Force Base,Ndola,ZM
Namwala Airport,Namwala,ZM
Nyimba Airport,Nyimba,ZM
Kasempa Airport,Kasempa,ZM
Petauke Airport,Petauke,ZM
Mporokoso Airport,Mporokoso,ZM
Kabompo Airport,Kabompo,ZM
Rosa Airport,Rosa,ZM
Rufansa Airport,Rufansa,ZM
Serenje Airport,Serenje,ZM
Shiwa n'gandu Airport,Shiwa n'gandu,ZM
Sakeji Airport,Sakeji,ZM
Simon Mwansa Kapwepwe International Airport,Ndola,ZM
Senanga Airport,Senanga,ZM
Southdowns Airport,Kitwe,ZM
Sesheke Airport,Sesheke,ZM
Solwesi Airport,Solwesi,ZM
West One Airport,Chinka,ZM
West Two Airport,Metamba,ZM
West Three Airport,Nyoka,ZM
West Four Airport,West Four,ZM
West Five Airport,Lipanda,ZM
West Six Airport,Kauni,ZM
West Seven Airport,Chanika,ZM
Waka Waka Airport,Waka Waka,ZM
Samfya Airport,Samfya,ZM
Zambezi Airport,Zambezi,ZM
Antsiranana Andrakaka Airport,,MG
Prince Said Ibrahim International Airport,Moroni,KM
Moheli Bandar Es Eslam Airport,,KM
Iconi Airport,Moroni,KM
Ouani Airport,Ouani,KM
Dzaoudzi Pamandzi International Airport,Dzaoudzi,YT
Roland Garros Airport,St Denis,RE
Pierrefonds Airport,St Pierre,RE
Moramanga Aerodrome,Moramanga,MG
Betainomby Airport,Betainomby,MG
Antananarivo Arivonimamo Airport,,MG
Malaimbandy Airport,Malaimbandy,MG
Antsirabe Airport,Antsirabe,MG
Antsalova Airport,Antsalova,MG
Mahanoro Airport,Mahanoro,MG
Ivato Airport,Antananarivo,MG
Ambohijanahary Airport,Ambohijanahary,MG
Ankavandra Airport,Ankavandra,MG
Belo sur Tsiribihina Airport,Belo sur Tsiribihina,MG
Miandrivazo Airport,,MG
Maintirano Airport,Maintirano,MG
Amparafaravola Airport,Amparafaravola,MG
Atsinanana Airport,Ilaka,MG
Morafenobe Airport,Morafenobe,MG
Sainte Marie Airport,,MG
Toamasina Airport,,MG
Tambohorano Airport,Tambohorano,MG
Morondava Airport,,MG
Tsiroanomandidy Airport,Tsiroanomandidy,MG
Vatomandry Airport,Vatomandry,MG
Ambatondrazaka Airport,Ambatondrazaka,MG
Arrachart Airport,,MG
Mananara Nord Airport,Mananara Nord,MG
Andapa Airport,,MG
Ambilobe Airport,,MG
Avaratra Airport,Befandriana,MG
Port Berge Airport,Port Berge,MG
Antsirabato Airport,,MG
Ambanja Airport,Ambanja,MG
Analalava Airport,,MG
Amborovy Airport,,MG
Fascene Airport,Nosy Be,MG
Soalala Airport,Soalala,MG
Mampikony Airport,Mampikony,MG
Besalampy Airport,,MG
Maroantsetra Airport,,MG
Sambava Airport,,MG
Tsaratanana Airport,Tsaratanana,MG
Vohimarina Airport,,MG
Ambalabe Airport,Antsohihy,MG
Mandritsara Airport,Mandritsara,MG
Ampampamena Airport,,MG
Ambalavao Airport,Ambalavao,MG
Antsoa Airport,Beroroha,MG
Mandabe Airport,Mandabe,MG
Tolanaro Airport,Tolanaro,MG
Betroka Airport,Betroka,MG
Fianarantsoa Airport,,MG
Farafangana Airport,,MG
Ihosy Airport,Ihosy,MG
Manja Airport,Manja,MG
Manakara Airport,,MG
Bekily Airport,Bekily,MG
Mananjary Airport,,MG
Samangoky Airport,Tanandava,MG
Morombe Airport,,MG
Toliara Airport,,MG
Vangaindrano Airport,Vangaindrano,MG
Betioky Airport,Betioky,MG
Ampanihy Airport,Ampanihy,MG
Ankazoabo Airport,Ankazoabo,MG
Cahama Airport,Cahama,AO
Matala Airport,Matala,AO
Cabo Ledo Airport,Cabo Ledo,AO
Ambriz Airport,Ambriz,AO
Mbanza Congo Airport,Mbanza Congo,AO
Benguela Airport,Benguela,AO
Dr. Antonio Agostinho Neto International Airport,Luanda,AO
Cabinda Airport,Cabinda,AO
Camembe Airport,Camembe,AO
Cacolo Airport,Cacolo,AO
Cafunfo Airport,Cafunfo,AO
Chitato Airport,Chitato,AO
Camabatela Airport,Camabatela,AO
Catumbela Airport,Catumbela,AO
Cuito Cuanavale Airport,Cuito Cuanavale,AO
Camaxilo Airport,Camaxilo,AO
Cazombo Airport,Cazombo,AO
Damba Airport,Damba,AO
Dundo Airport,Chitato,AO
Ngjiva Pereira Airport,Ngiva,AO
Nova Lisboa Airport,Huambo,AO
Kuito Airport,Kuito,AO
Lobito Airport,Lobito,AO
Lucapa Airport,Lucapa,AO
Quatro De Fevereiro Airport,Luanda,AO
Luzamba Airport,Luzamba,AO
Malanje Airport,Malanje,AO
Menongue Airport,Menongue,AO
Namibe Airport,Namibe,AO
Maquela do Zombo Airport,Maquela do Zombo,AO
Negage Airport,Negage,AO
Porto Amboim Airport,Port Amboim,AO
Sanza Pombo Airport,Sanza Pombo,AO
Saurimo Airport,Saurimo,AO
Soyo Airport,Soyo,AO
Sumbe Airport,Sumbe,AO
Toto Airport,Toto,AO
Luau Airport,Luau,AO
Lubango Airport,Lubango,AO
Luena Airport,Luena,AO
Uige Airport,Uige,AO
Waco Kungo Airport,Waco Kungo,AO
Xangongo Airport,Xangongo,AO
N'zeto Airport,N'zeto,AO
Nzagi Airport,Nzagi,AO
Akiéni Airport,Akiéni,GA
Booue Airport,Booue,GA
Ndende Airport,Ndende,GA
Fougamou Airport,Fougamou,GA
M'Bigou Airport,M'Bigou,GA
Moabi Airport,Moabi,GA
Ville Airport,N'Djole,GA
Koulamoutou Airport,Koulamoutou,GA
Mouilla Ville Airport,Mouila,GA
Oyem Airport,Oyem,GA
Okondja Airport,Okondja,GA
Lambarene Airport,Lambarene,GA
Minvoul Airport,Minvoul,GA
Bitam Airport,Bitam,GA
Cocobeach Airport,Cocobeach,GA
Moanda Airport,Moanda,GA
Mekambo Airport,Mekambo,GA
Port Gentil Airport,Port Gentil,GA
Omboue Hopital Airport,Omboue,GA
Makokou Airport,Makokou,GA
Leon M Ba Airport,Libreville,GA
Mitzic Airport,Mitzic,GA
M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,GA
Lastourville Airport,Lastourville,GA
Sette Cama Airport,Sette Cama,GA
Tchibanga Airport,Tchibanga,GA
Mayumba Airport,Mayumba,GA
Principe Airport,,ST
Sao Tome International Airport,Sao Tome,ST
Vila Franca do Save Airport,Vila Franca do Save,MZ
Angoche Airport,Angoche,MZ
Bilene Airport,Bilene,MZ
Beira Airport,Beira,MZ
Cuamba Airport,Cuamba,MZ
Chimoio Airport,Chimoio,MZ
Furancungo Airport,Furancungo,MZ
Inhaca Airport,Inhaca,MZ
Inhambane Airport,Inhambabe,MZ
Lichinga Airport,Lichinga,MZ
Lumbo Airport,Lumbo,MZ
Maputo Airport,Maputo,MZ
Mueda Airport,Mueda,MZ
Mocimboa da Praia Airport,Mocimboa da Praia,MZ
Marrupa Airport,Marrupa,MZ
Nacala Airport,Nacala,MZ
Nampula Airport,Nampula,MZ
Pemba Airport,Pemba / Porto Amelia,MZ
Ponta do Ouro Airport,Ponta do Ouro,MZ
Quelimane Airport,Quelimane,MZ
Songo Airport,Songo,MZ
Chingozi Airport,Tete,MZ
Ulongwe Airport,Ulongwe,MZ
Vilankulo Airport,Vilanculo,MZ
Xai-Xai Airport,Xai-Xai,MZ
Alphonse Airport,Alphonse Island,SC
Assumption Island Airport,Assumption Island,SC
Darros Airport,Darros Island,SC
Desroches Airport,Desroches Island,SC
Farquhar Airport,Farquhar Group,SC
Seychelles International Airport,Mahe Island,SC
Marie-Louise Airport,Marie-Louise Island,SC
Platte Airport,Platte Island,SC
Praslin Airport,Praslin Island,SC
Bird Island Airport,Bird Island,SC
Coetivy Airport,Coetivy Island,SC
Denis Island Airport,Denis Island,SC
Fregate Island Airport,Fregate Island,SC
Remire Island Airport,Remire Island,SC
Sarh Airport,Sarh,TD
Bongor Airport,Bongor,TD
Abeche Airport,,TD
Moundou Airport,,TD
Biltine Airport,Biltine,TD
Fada Airport,Fada,TD
Goz-Beida Airport,Goz-Beida,TD
Lai Airport,Lai,TD
Ati Airport,Ati,TD
N'Djamena International Airport,N'Djamena,TD
Bokoro Airport,Bokoro,TD
Bol Airport,Bol,TD
Mongo Airport,Mongo,TD
Am Timan Airport,Am Timan,TD
Pala Airport,Pala,TD
Zouar Airport,Zouar,TD
Bousso Airport,Bousso,TD
Mao Airport,Mao,TD
Faya Largeau Airport,,TD
Bardai Zougra Airport,Bardai Zougra,TD
Kwekwe East Airport,,ZW
Mhangura Airport,,ZW
Aberdeen Airport,Aberdeen,ZW
Braebourne Airport,Braebourne,ZW
Beit Bridge Airport,,ZW
Binga Airport,Binga,ZW
Mabalauta Airport,Mabalauta,ZW
Bumi Airport,Bumi,ZW
Bosbury Airport,Bosbury,ZW
Joshua Mqabuko Nkomo International Airport,Bulawayo,ZW
C.C. Strip,C.C. Strip,ZW
Chirundu Airport,Chirundu,ZW
Celina Airport,Celina,ZW
Chipinge Airport,Chipinge,ZW
Cam+Motor Airport,Cam+Motor,ZW
Centenary Airport,,ZW
Charles Prince Airport,Harare,ZW
Chizarira Airport,Chizarira,ZW
Chivu Airport,Chivu,ZW
Buffalo Range Airport,Chiredzi,ZW
Dawsons Airport,Dawsons,ZW
Deka Airport,Deka,ZW
Dudley Airport,Dudley,ZW
Eduan Airport,Eduan,ZW
Victoria Falls International Airport,Victoria Falls,ZW
Fothergill Airport,Fothergill,ZW
Filabusi Airport,Filabusi,ZW
Gwanda Airport,Gwanda,ZW
Gokwe Airport,,ZW
Mutara Grand Ref Airport,,ZW
Gaths Mine Airport,Gaths Mine,ZW
Gweru Airport,Gweru,ZW
Harare International Airport,Harare,ZW
Home Park Airport,Home Park,ZW
Hippo Valley Airport,Chiredzi,ZW
Induna Airport,Induna,ZW
Itafa Airport,Itafa,ZW
Kariba International Airport,Kariba,ZW
Kwekwe Airport,Kwekwe,ZW
Mkwasine Airport,Mkwasine,ZW
Kezi Airport,Kezi,ZW
Langford Airport,Langford,ZW
Longuiel Airport,Longuiel,ZW
Lusulu Airport,Lusulu,ZW
Marondera Airport,Marondera,ZW
Mashumbi Airport,Mashumbi,ZW
Mount Darwin Airport,,ZW
Mabikwa Airport,Mabikwa,ZW
Mkonono Airport,Mkonono,ZW
Mana Pools Airport,Mana Pools,ZW
Middle Sabi Airport,Middle Sabi,ZW
Mutoko Airport,Mutoko,ZW
Mutare Airport,,ZW
Masvingo International Airport,Masvingo,ZW
Murewa Airport,Murewa,ZW
Nyanyadzi Airport,Nyanyadzi,ZW
